Station
Churchgate
Marine Lines
Charni Road
Grant Road
Mumbai Central
Mahalaxmi
Lower Parel
Prabhadevi
Dadar
Matunga Road
Mahim
Bandra
Khar Road
Santacruz
Vile Parle
Andheri
Jogeshwari
Ram Mandir
Goregaon
Malad
Kandivali
Borivali
Dahisar
Mira Road
Bhayandar
Naigaon
Vasai Road
Nala Sopara
Virar
CSMT
Masjid
Sandhurst Road
Byculla
Chinchpokli
Currey Road
Parel
Dadar
Matunga
Sion
Kurla
Vidyavihar
Ghatkopar
Vikhroli
Kanjurmarg
Bhandup
Nahur
Mulund
Thane
Kalwa
Mumbra
Diva
Kopar
Dombivli
Thakurli
Kalyan
Shahad
Ambivli
Titwala
Khadavli
Vasind
Asangaon
Atgaon
Thansit
Khardi
Umbermali
Kasara
Vithalwadi
Ulhasnagar
Ambernath
Badlapur
Vangani
Shelu
Neral
Bhivpuri Road
Karjat
Palasdhari
Kelavli
Dolavli
Lowjee
Khopoli
Dockyard Road
Reay Road
Cotton Green
Sewri
Wadala Road
Guru Tegh Bahadur Nagar
Chunabhatti
Tilak Nagar
Chembur
Govandi
Mankhurd
Vashi
Sanpada
Juinagar
Nerul
Seawoods
CBD Belapur
Kharghar
Mansarovar
Khandeshwar
Panvel
Four Bungalows
Seven Bungalows
Lokhandwala
Lokhandwala Complex
Versova
Versova Village
Yari Road
Aram Nagar
Amboli
Shastri Nagar
DN Nagar
Azad Nagar
Gilbert Hill
Veera Desai Road
Shivaji Nagar
Mhada Colony Andheri West
Andheri Market
Navneeth Colony
Juhu Galli
Millat Nagar
Oshiwara
Jogeshwari West
Chakala
JB Nagar
Marol
Marol Naka
Marol Village
Saki Naka
Sakinaka
Saki Vihar Road
MIDC Andheri East
SEEPZ
Mahakali
Mahakali Caves
Sher-e-Punjab Colony
Vijay Nagar
Bhawani Nagar
Ashok Nagar
Military Road
Pipeline Road
Mogra
Mogra Village
Nagardas Road
Natwar Nagar
Kondivita
Gundavali
Sahar
Airport Colony
Juhu
Irla
Parle Colony
Nehru Road
Vakola
Kalina
University of Mumbai
Bandra Kurla Complex
Khar West
Khar East
Khar Danda
Pali Hill
Pali Naka
14th Road
16th Road
Linking Road
Carter Road
Bandra Reclamation
Bandra Bandstand
Bandra Fort
Bandra Talao
Bandra Bazaar
Chimbai
Chuim Village
Danda
Ranwar
Pali Village
Hill Road
Mount Mary
Aarey Colony
Aarey Milk Colony
Film City
Ram Mandir
Malvani
Chincholi Bunder
Kanchpada
Kurar Village
Mindspace Malad
Orlem
Evershine Nagar
Powai
Hiranandani Gardens Powai
Chandivali
Saki Vihar
Thane
Digha Gaon
Airoli
Rabale
Ghansoli
Koparkhairane
Turbhe
Sanpada
Vashi
Juinagar
Nerul
Seawoods-Darave
CBD Belapur
Kharghar
Mansarovar
Khandeshwar
Panvel
