Area
Colaba
Cuffe Parade
Navy Nagar
Fort
Kala Ghoda
Ballard Estate
Churchgate
Nariman Point
Marine Drive
Marine Lines
Girgaon
Charni Road
Opera House
Khetwadi
Grant Road
Gamdevi
Bhuleshwar
Kalbadevi
Zaveri Bazaar
Crawford Market
Masjid Bunder
Mandvi
Pydhonie
Dongri
Umerkhadi
Nagpada
Chor Bazaar
Bhendi Bazaar
Mohammad Ali Road
Tardeo
Mumbai Central
Agripada
Mahalaxmi
Malabar Hill
Walkeshwar
Breach Candy
Cumbala Hill
Kemps Corner
Altamount Road
Pedder Road
Nepean Sea Road
Hughes Road
Babulnath
Chowpatty
Prarthana Samaj
Mazgaon
Byculla
Chinchpokli
Ghodapdeo
Saat Rasta
Lower Parel
Worli
Prabhadevi
