Area
Thane West
Naupada
Panch Pakhadi
Tembhi Naka
Charai
Kopri
Wagle Estate
Shivai Nagar
Vartak Nagar
Lokmanya Nagar
Pokhran Road No. 1
Pokhran Road No. 2
Vasant Vihar
Manpada
Chitalsar
Tikujiniwadi
Kapurbawdi
Majiwada
Dhokali
Balkum
Kolshet
Kolshet Road
Kolshet Industrial Area
Brahmand
Waghbil
Patlipada
Hiranandani Estate
Kasarvadavali
Anand Nagar
Owale
Gaimukh
Ovala
Gaimukh Gaon
Nagla Bunder
Yeoor
Upvan
Azad Nagar
Manorama Nagar
Kokanipada
Vadavli
Kavesar
Haware City
Anand Nagar
Rutu Park
Siddhachal
Thane East
Kopri
Kopri Colony
Anand Nagar
Kalwa
Kharegaon
Vitawa
Parsik Nagar
Daighar
Mumbra
Kausa
Shilphata
